Source File: C:\Users\MarcosP\Documents\Vemco\LoggerVUE\Minilog-II-T_355573_20250405_1.vld
Source Device: Minilog-II-T-355573
Study Description: Molly1
Minilog Initialized: 2025-04-01 18:10:50 (UTC+2)
Study Start Time: 2025-04-02 09:00:00
Study Stop Time: 2025-04-05 12:00:00
Sample Interval: 00:20:00
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2025-04-04,15:20:00,-1.76
2025-04-04,15:40:00,-1.76
2025-04-04,16:00:00,-1.76
2025-04-04,16:20:00,-1.76
2025-04-04,16:40:00,-1.75
2025-04-04,17:00:00,-1.76
2025-04-04,17:20:00,-1.76
2025-04-04,17:40:00,-1.75
2025-04-04,18:00:00,-1.77
2025-04-04,18:20:00,-1.77
2025-04-04,18:40:00,-1.77
2025-04-04,19:00:00,-1.77
2025-04-04,19:20:00,-1.76
2025-04-04,19:40:00,-1.76
2025-04-04,20:00:00,-1.76
2025-04-04,20:20:00,-1.76
2025-04-04,20:40:00,-1.76
2025-04-04,21:00:00,-1.77
2025-04-04,21:20:00,-1.77
2025-04-04,21:40:00,-1.76
2025-04-04,22:00:00,-1.76
2025-04-04,22:20:00,-1.75
2025-04-04,22:40:00,-1.75
2025-04-04,23:00:00,-1.74
2025-04-04,23:20:00,-1.74
2025-04-04,23:40:00,-1.74
2025-04-05,00:00:00,-1.74
2025-04-05,00:20:00,-1.75
2025-04-05,00:40:00,-1.75
2025-04-05,01:00:00,-1.75
2025-04-05,01:20:00,-1.75
2025-04-05,01:40:00,-1.75
2025-04-05,02:00:00,-1.75
2025-04-05,02:20:00,-1.75
2025-04-05,02:40:00,-1.75
2025-04-05,03:00:00,-1.76
2025-04-05,03:20:00,-1.76
2025-04-05,03:40:00,-1.76
2025-04-05,04:00:00,-1.76
2025-04-05,04:20:00,-1.76
2025-04-05,04:40:00,-1.76
2025-04-05,05:00:00,-1.76
2025-04-05,05:20:00,-1.76
2025-04-05,05:40:00,-1.76
2025-04-05,06:00:00,-1.76
2025-04-05,06:20:00,-1.75
2025-04-05,06:40:00,-1.74
2025-04-05,07:00:00,-1.74
2025-04-05,07:20:00,-1.74
2025-04-05,07:40:00,-1.74
2025-04-05,08:00:00,-1.75
2025-04-05,08:20:00,-1.75
2025-04-05,08:40:00,-1.75
2025-04-05,09:00:00,-1.75
2025-04-05,09:20:00,-1.76
2025-04-05,09:40:00,-1.76
2025-04-05,10:00:00,-1.76
2025-04-05,10:20:00,-1.76
2025-04-05,10:40:00,-1.76
2025-04-05,11:00:00,-6.95
2025-04-05,11:20:00,-9.85
2025-04-05,11:40:00,-10.33
2025-04-05,12:00:00,4.21
